,name,id,artist,artist_id,popularity,release_date,season
135,Cudi Zone,6P9uVc2SxCOAiextf4udxk,Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,40,2009-09-15,summer
136,"Young, Wild & Free (feat. Bruno Mars)",5HQVUIKwCEXpe7JIHyY734,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,75,2011-10-11,summer
137,Amber,6Fe3Flc9SjE03pqwD6PVQl,311,41Q0HrwWBtuUkJc7C1Rp6K,66,2001-06-19,summer
138,It Was A Good Day,2lUirvUhqfBqJzUvk4tLoK,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,0,1992-11-17,summer
139,Too Good,3BtuIIrQlkujKPuWF2B85z,Drake,3TVXtAsR1Inumwj472S9r4,72,2016-05-06,summer
140,Ganja Smuggling,0Sql4biXLMHMyS292x9ZL0,Eek-A-Mouse,6xqlgBccdlxUh5DeJSx2ho,27,2008,summer
141,Santeria,2hnMS47jN0etwvFPzYk11f,Sublime,0EdvGhlC1FkGItLOWQzG4J,78,1996-07-30,summer
142,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,Tame Impala,5INjqkS1o8h1imAzPqGZBb,84,2015-07-17,summer
143,Let It Happen,2X485T9Z5Ly0xyaghN73ed,Tame Impala,5INjqkS1o8h1imAzPqGZBb,78,2015-07-17,summer
144,Miracle (with Ellie Goulding),5eTaQYBE1yrActixMAeLcZ,Calvin Harris,7CajNmpbOovFoOoasH2HaY,74,2023-03-10,summer
145,Scream & Shout,2iJuuzV8P9Yz0VSurttIV5,will.i.am,085pc2PYOi8bGKj0PNjekA,76,2013-01-01,summer
146,Stolen Dance,0ZfByLXCeKchuj7zi1CJ0S,Milky Chance,1hzfo8twXdOegF3xireCYs,72,2014-10-14,summer
147,Sex on Fire,0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,2qk9voo8llSGYcZ6xrBzKx,84,2008-09-23,summer
148,Super Rich Kids,0725YWm6Z0TpZ6wrNk64Eb,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,75,2012-07-10,summer
149,Looking Out for You,3jfZ9M23l0L7RxzYMTgBTv,Joy Again,4jCIAMb0zEArF3GYEYzoDk,78,2016-01-15,summer
150,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,Calvin Harris,7CajNmpbOovFoOoasH2HaY,83,2012-10-29,summer
151,Kids,1jJci4qxiYcOHhQR247rEU,MGMT,0SwO7SWeDHJijQ3XNS7xEE,77,2007-12-14,summer
152,Kiss Her You Fool,6aBh6vT0UV14DneyyNorR2,Kids That Fly,1qChcfwij4nN6hsCLTKBJX,5,2019-11-20,summer
153,"Sex, Drugs, Etc.",7MlDNspYwfqnHxORufupwq,Beach Weather,7I3bkknknQkIiatWiupQgD,82,2023-03-03,summer
154,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,89,2017-07-21,summer
155,All Your'n,0fCwTrRNfoNk962ati8n2K,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,78,2019-08-02,summer
156,Jersey Giant,35jC1Olo0e03VNmFIs8bqJ,Evan Honer,1GERDglQrxe4ynLzcdG6qP,0,2022-12-16,summer
157,Freakin' Out On the Interstate,6Fqf0OTfB9VPfYk2HfBhPn,Briston Maroney,7vtSUU3zpHeYJfX6BPNrJd,53,2018-11-16,summer
158,My Way,1vvNmPOiUuyCbgWmtc6yfm,Calvin Harris,7CajNmpbOovFoOoasH2HaY,73,2016-09-16,summer
159,Everywhere,1prZ0pr6XoRCxcrC3MCL0M,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,66,1988-11-21,summer
160,This Charming Man - 2011 Remaster,1FvDJ9KGxcqwv1utyPL3JZ,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,78,1984-02-20,summer
161,Love Lost,2z9iuAxKv4TTeCrPAxxKg9,Mac Miller,4LLpKhyESsyAXpc4laK94U,76,2022-07-22,summer
162,Adventure of a Lifetime,69uxyAqqPIsUyTO8txoP2M,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,79,2015-12-04,summer
163,Doses & Mimosas,44CZRkOxv7UItaAUmh8PgN,Cherub,00dwwnz3V4kRfu3UFYpJLz,67,2014,summer
164,Congratulations (feat. Bilal),1OubIZ0ARYCUq5kceYUQiO,Mac Miller,4LLpKhyESsyAXpc4laK94U,75,2016-09-16,summer
165,RUNNING OUT OF TIME,5QvBXUm5MglLJ3iBfTX2Wo,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,72,2019-05-17,summer
166,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,78,2012,summer
167,Unforgettable,3B54sVLJ402zGa6Xm4YGNe,French Montana,6vXTefBL93Dj5IqAWq6OTv,85,2017-07-14,summer
